,Q11_r1,Q11_r2,Q11_r3,Q11_r4,Q11_r5,Q11_r6,Q11_r7,Q11_r8,Q11_r9,Q11_r10,Q11_r11,Q11_r12
Q17_r2,0.355960343,-0.008067567,0.121298332,-0.021688461,-0.050257434,0.013258097,-0.079030838,0.028017596,-0.044352295,-0.003749504,-0.006816087,0.018897944
Q18_r15,0.123451619,-0.0005693,0.15495011,0.053205694,-0.045983753,-0.016470696,-0.052412461,-0.011341603,0.053976068,-0.014569691,0.006075569,-0.101771613
Q18_r5,0.111980768,-0.012045202,0.054847277,-0.005293571,0.007025095,-0.018613914,-0.055677151,0.008628623,0.037950519,0.033626072,0.093284441,-0.066654751
Q21_r5,0.096519926,0.083265691,0.018729626,0.003748097,-0.013197282,0.00894353,-0.039796742,-0.017919079,-0.004059765,-0.016323423,0.099779295,0.009255083
Q12_r28,0.093318142,0.018512544,0.131789726,0.022310792,-0.048626024,-0.036157882,-0.041611299,0.006098367,0.02477805,0.052962074,-0.009809056,-0.05800989
Q13_r1,0.078228959,0.025395728,0.037040144,-0.005693439,-0.025106627,0.001352319,-0.066419514,-0.014883465,0.058602176,0.008779749,0.035937822,-0.013808377
Q12_r14,0.077140587,0.003700187,-0.00794076,0.01572636,0.000184951,-0.046529459,0.020704961,-0.039738165,0.031232155,0.03357832,0.010322973,-0.065922417
Q18_r4,0.07609582,-0.025831297,0.0827473,0.031684973,-0.005386074,-0.03672356,-0.024360102,0.011384824,0.073808129,0.03794943,-0.00232706,-0.15452811
Q13_r6,0.072431225,0.028007234,0.060657312,-0.082856856,-0.047245005,-0.042168318,-0.028510399,0.078000818,0.10907339,-0.033987177,0.026187459,-0.029856394
Q18_r8,0.07093311,0.017027316,0.068891099,0.019957083,-0.039098276,0.024223812,-0.064660645,0.029249316,0.046190633,-0.005990579,0.004810402,-0.058925269
Q2_C1_r4,0.067883662,0.045977171,0.108643589,0.002742625,-0.017586448,-0.027965445,-0.006317816,-0.002354216,0.022204975,0.007020258,0.010161635,-0.066812816
Q12_r12,0.067285999,0.037754961,0.066874909,0.037373999,0.007165379,-0.038993386,0.002871261,-0.04702281,0.033080784,0.007836668,0.028637996,-0.097564893
Q2_C1_r6,0.064682896,0.035188198,0.051334555,0.034951324,-0.02002536,-0.045593125,-0.029170887,0.004097044,0.045967175,0.004472405,0.046524971,-0.067377729
Q18_r19,0.061572784,0.049848266,0.120613346,-0.024010072,-0.083059495,-0.027482832,-0.080810339,0.105011604,0.114370173,0.01887288,0.023839204,-0.088390318
Q22_r8,0.059665139,0.054631588,0.078321536,0.033400969,-0.068842195,-0.009180233,-0.066735593,0.007249179,0.126938972,0.017891515,0.041199581,-0.130678758
Q18_r9,0.058926221,0.043084915,0.000988315,0.000520243,0.020537287,-0.019617556,-0.028574338,-0.009643674,0.007205099,0.006856254,-0.010709941,-0.002645457
Q19_r1,0.057778637,0.009933658,0.076049544,0.122308692,-0.174331474,-0.073917345,-0.263674492,0.111847481,0.220211696,-0.045299551,0.005926125,0.028853961
Q18_r12,0.055652227,0.023468435,0.070938639,0.023875034,-0.032140894,-0.019408261,-0.0255095,0.021864656,0.051813319,-0.030658921,0.036513587,-0.070106714
Q15_r1,0.054365025,0.017681188,-0.035046586,-0.010624154,-0.046402337,0.036827065,-0.070565187,-0.009462396,0.065863892,0.049908856,0.024923664,-0.008212084
Q17_r10,0.053576537,-0.005968647,-0.017629479,-0.027145124,-0.033228925,0.025801932,-0.035264174,-0.01544504,-0.010717516,-0.011836784,-0.005042761,0.103596332
Q16_r2,0.053341457,0.036928882,0.03892045,-0.002863029,-0.025546449,-0.020927077,-0.063261709,-0.00583688,0.075035518,0.010823189,0.09892788,-0.032097097
Q12_r26,0.052703235,-0.014758363,0.023950272,0.020522505,-0.015205915,-0.020942189,-0.012932341,0.001916906,0.045720949,0.008436163,-0.012468974,-0.066288414
Q18_r20,0.05228116,0.008153517,0.080801269,-0.006083722,-0.038440328,-0.031705567,0.008964246,0.045721882,0.009424453,0.034272411,0.018174829,-0.063140402
Q12_r13,0.051557006,-0.010777052,0.068043589,0.019913398,0.00526387,-0.04063844,-0.015872928,0.006996573,0.015898787,0.008771746,0.067077527,-0.058973037
Q17_r3,0.050758506,-0.004384758,0.013236104,-0.005609995,-0.006951848,-0.026053125,0.036232254,-0.003594341,-0.024209734,0.018230914,-0.003704573,-0.011224879
Q13_r10,0.04631141,0.024690592,0.116806682,-0.047455937,-0.060619866,-0.075844352,-0.013988746,0.037497746,0.137274155,-0.044768656,0.006046075,-0.060699861
Q21_r2,0.045147129,0.007419659,0.023329244,0.015436813,-0.088437722,0.012413047,-0.044815428,0.063696705,0.101604037,-0.030170648,0.020828677,-0.074503356
MRK_Age2_r1,0.045091084,0.05630435,0.011056968,-0.0074513,-0.049614737,-0.031943235,-0.009139649,0.019385409,0.070727092,0.023025117,0.042566493,-0.061766167
Q12_r20,0.043408483,0.009963679,0.083989292,-0.022019089,0.005341191,-0.033458759,-0.037775221,0.019237101,0.075904129,-0.008764942,0.016741451,-0.068963985
Q20_r1,0.043318068,-0.007237131,0.010553449,0.025216843,-0.074504942,0.069487857,-0.097911835,0.004179873,0.018985254,-0.004242594,-0.000346138,0.06288678
S3_r1,0.041698624,-0.007697827,0.060118365,0.043702617,-0.022201475,0.030404617,-0.018187982,-0.010406233,-0.077016147,-0.02690568,0.012942487,0.05347296
Q22_r12,0.041494204,0.029631839,0.05452645,0.028110761,-0.091823515,-0.038429216,-0.136137317,0.082879945,0.146901163,0.018443421,0.015596822,-0.046715958
Q12_r25,0.040973903,-0.012045202,0.014658404,0.030840116,-0.015969846,-0.002727224,-0.031229227,-0.010916272,0.011438804,0.069090247,0.058797397,-0.053739134
Q10_r18,0.03832205,-0.01977973,0.013835131,-0.025409716,-0.001310559,0.012565927,0.002768831,0.014348104,-0.035435114,-0.005255879,0.022579824,0.034820633
Q18_r21,0.037796321,-0.012468643,0.050894531,-6.16E-05,-0.012094617,-0.017574966,-0.04862449,-0.007945683,0.008572108,0.049915381,-0.010534446,0.017029844
Q18_r16,0.036739065,-0.009884886,-0.0590761,-0.004839004,0.040651207,-0.039322664,0.072830813,-0.040075872,0.029564033,0.001895209,-0.015506884,-0.088404007
Q21_r3,0.036459677,0.022219081,0.085728049,0.0059866,-0.066861422,0.04885694,-0.103473904,-0.000658766,0.074984627,0.049570177,-0.015724188,-0.034380703
Q12_r22,0.035771468,0.020671591,0.007503238,-0.001472994,0.016739091,-0.025779407,0.033372528,-0.028117254,-0.037756611,-0.003930339,-0.004161453,0.01698529
Q13_r8,0.035460385,0.085949697,0.018093834,-0.007175625,-0.049809416,0.010362555,-0.038436288,0.022301494,0.009792642,0.024050331,0.017533916,0.015686993
Q22_r9,0.034635097,0.027157398,0.044597522,0.013233176,-0.030746116,-0.013726778,-0.038646434,0.015510987,0.102592514,0.023247799,0.001785184,-0.120192255
S1_r1,0.034176691,-0.014785524,-0.018312702,0.040371719,-0.007968973,0.00029097,0.019357927,-0.00093852,-0.011899441,-0.014817284,0.001623446,-0.037462936
Q12_r6,0.033640889,-0.002718845,0.001460963,-0.038407494,-0.041233414,-0.014615401,0.001867982,0.010440398,0.1406269,0.009510703,-0.009815493,-0.117235184
Q22_r1,0.033573781,0.021776763,0.046051197,0.029646512,-0.092654241,0.020611566,-0.117188409,0.071470607,0.144475983,0.023341337,0.025366772,-0.104771894
Q23_r3,0.033544115,0.026322039,0.006921914,0.030825303,-0.042532646,0.031847384,-0.022307781,0.002959659,0.01966052,-0.024981864,-0.00347436,-0.02258729
Q2_C2_r7,0.033160314,0.029452662,0.023067466,0.009143689,-0.015814707,0.030039929,-0.002356199,0.026861869,-0.001916567,-0.029429785,0.009574971,-0.04140752
Q10_r20,0.03163448,0.013307492,-0.002689637,0.034164054,0.002548254,-0.030911473,0.007754461,-0.038822879,0.01403351,0.033722052,0.020252555,-0.05134216
Q2_C2_r3,0.030875111,0.057196987,0.038505657,0.042020088,-0.022670102,-0.041392164,-0.05313241,0.015422914,0.079663063,0.02349684,0.01576277,-0.090780472
Q2_C3_r1,0.030781766,1.30E-05,0.030011403,0.007450179,0.00717255,0.001096172,0.009545778,-0.017493989,-0.010057178,0.011658985,0.006648538,-0.034702064
Q9_r1,0.030418066,-0.01669088,0.042433896,-0.021721393,-0.082729055,-0.050823268,-0.136740484,0.110042831,0.13447091,-0.022776759,0.012137851,0.048727254
